date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:54	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jul%202018%2010:21:54%20GMT	http://localhost:60754/robots.txt		(from )
17:21:58	32570/32570	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:21:57%20GMT	http://localhost:60754/	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/index.html	(from )
17:22:05	146009/146009	---M--	200	added ('OK')	text/css	etag:%221d40c6c2788e659%22	http://localhost:60754/css/bootstrap/dist/css/bootstrap.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/css/bootstrap.css	(from http://localhost:60754/)
17:22:07	26132/26132	---M--	200	added ('OK')	text/css	etag:%221d3c76b8d4d9794%22	http://localhost:60754/css/bootstrap/dist/css/bootstrap-theme.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/css/bootstrap-theme.css	(from http://localhost:60754/)
17:22:07	1368/1368	---M--	200	added ('OK')	text/css	etag:%221d40c6d6cfbdc58%22	http://localhost:60754/css/site.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/site.css	(from http://localhost:60754/)
17:22:12	35135/35135	---M--	200	added ('OK')	text/css	etag:%221d3c76b8d4d78bf%22	http://localhost:60754/css/font-awesome/css/font-awesome.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/css/font-awesome.css	(from http://localhost:60754/)
17:22:20	41807/41807	---M--	200	added ('OK')	application/javascript	etag:%221d41833e2eacecf%22	http://localhost:60754/js/bootstrap-3.3.7.min.js	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/js/bootstrap-3.3.7.min.js	(from http://localhost:60754/)
17:22:20	85580/85580	---M--	200	added ('OK')	application/javascript	etag:%221d41833afa690cc%22	http://localhost:60754/js/jquery-2.2.4.min.js	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/js/jquery-2.2.4.min.js	(from http://localhost:60754/)
17:22:26	52789/52789	---M--	200	added ('OK')	text/css	etag:%221d3c76b8d4d3fb5%22	http://localhost:60754/css/animate.css/animate.min.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/animate.css/animate.min.css	(from http://localhost:60754/)
17:22:26	1458/1458	---M--	200	added ('OK')	text/css	etag:%221d3c76b8d4df432%22	http://localhost:60754/css/nprogress/nprogress.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/nprogress/nprogress.css	(from http://localhost:60754/)
17:22:31	134906/134906	---M--	200	added ('OK')	application/javascript	etag:%221d3c76b8d4fff7a%22	http://localhost:60754/css/moment/moment.js	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/moment/moment.js	(from http://localhost:60754/)
17:22:31	62764/62764	---M--	200	added ('OK')	text/css	etag:%221d40c6da59b47ac%22	http://localhost:60754/css/custom.min.css	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/custom.min.css	(from http://localhost:60754/)
17:22:34	7021/7021	---M--	200	added ('OK')	application/javascript	etag:%221d3c76b8d4deaed%22	http://localhost:60754/js/custom.js	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/js/custom.js	(from http://localhost:60754/)
17:22:34	72450/72450	---M--	200	added ('OK')	application/javascript	etag:%221d3c76b8d4cea82%22	http://localhost:60754/js/custom.min.js	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/js/custom.min.js	(from http://localhost:60754/)
17:22:34	4077/4077	---M--	200	added ('OK')	image/jpeg	etag:%221d3c76b8d4dfe6d%22	http://localhost:60754/images/img.jpg	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/images/img.jpg	(from http://localhost:60754/)
17:22:42	21228/21228	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:22:36%20GMT	http://localhost:60754/Clients	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Clients.html	(from http://localhost:60754/)
17:22:43	25266/25266	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:22:39%20GMT	http://localhost:60754/Applicants	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Applicants.html	(from http://localhost:60754/)
17:22:55	22851/22851	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:22:49%20GMT	http://localhost:60754/Cities	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Cities.html	(from http://localhost:60754/)
17:22:57	49874/49874	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:22:44%20GMT	http://localhost:60754/Questions	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Questions.html	(from http://localhost:60754/)
